date,SPHB_Open,SPHB_High,SPHB_Low,SPHB_Close,SPHB_Volume,SPHB_Dividends,SPHB_Stock Splits
2011-05-05 00:00:00+00:00,24.07999992370605,24.440000534057617,24.07999992370605,20.633628845214844,86200,0.0,
2011-05-06 00:00:00+00:00,24.6299991607666,24.6299991607666,24.170000076293945,20.710433959960938,26000,0.0,
2011-05-09 00:00:00+00:00,24.270000457763672,24.270000457763672,24.270000457763672,20.710433959960938,0,0.0,
2011-05-10 00:00:00+00:00,24.690000534057617,24.780000686645508,24.690000534057617,21.1456298828125,1300,0.0,
2011-05-11 00:00:00+00:00,24.649999618530277,24.649999618530277,24.229999542236328,20.710433959960938,2700,0.0,
2011-05-12 00:00:00+00:00,24.18000030517578,24.40999984741211,24.18000030517578,20.804298400878903,1700,0.0,
2011-05-13 00:00:00+00:00,24.3799991607666,24.3799991607666,24.3799991607666,20.804298400878903,0,0.0,
2011-05-16 00:00:00+00:00,24.149999618530277,24.149999618530277,24.149999618530277,20.6080322265625,100,0.0,
2011-05-17 00:00:00+00:00,24.149999618530277,24.149999618530277,24.149999618530277,20.6080322265625,0,0.0,
2011-05-18 00:00:00+00:00,23.82999992370605,23.82999992370605,23.82999992370605,20.334964752197266,300,0.0,
2011-05-19 00:00:00+00:00,23.82999992370605,23.82999992370605,23.82999992370605,20.334964752197266,0,0.0,
2011-05-20 00:00:00+00:00,24.15999984741211,24.15999984741211,24.15999984741211,20.616567611694336,500,0.0,
2011-05-23 00:00:00+00:00,23.450000762939453,23.46999931335449,23.420000076293945,19.98509788513184,2300,0.0,
2011-05-24 00:00:00+00:00,23.420000076293945,23.420000076293945,23.420000076293945,19.98509788513184,0,0.0,
2011-05-25 00:00:00+00:00,23.420000076293945,23.420000076293945,23.420000076293945,19.98509788513184,0,0.0,
2011-05-26 00:00:00+00:00,23.75,23.940000534057617,23.75,20.4288272857666,900,0.0,
2011-05-27 00:00:00+00:00,24.06999969482422,24.149999618530277,24.06999969482422,20.539756774902344,400,0.0,
2011-05-31 00:00:00+00:00,24.40999984741211,24.40999984741211,24.40999984741211,20.82988929748535,200,0.0,
2011-06-01 00:00:00+00:00,23.6200008392334,23.65999984741211,23.6200008392334,20.189889907836918,200,0.0,
2011-06-02 00:00:00+00:00,23.61000061035156,23.61000061035156,23.350000381469727,19.92535781860352,300,0.0,
