date,GIFI_Open,GIFI_High,GIFI_Low,GIFI_Close,GIFI_Volume,GIFI_Dividends,GIFI_Stock Splits
1997-04-04 00:00:00+00:00,8.75,8.75,8.25,7.017338752746582,2463800,0.0,
1997-04-07 00:00:00+00:00,8.5,8.75,8.375,7.095600128173828,480400,0.0,
1997-04-08 00:00:00+00:00,8.625,8.625,8.1875,6.886905670166016,445400,0.0,
1997-04-09 00:00:00+00:00,8.25,8.3125,8.125,6.782556056976318,263000,0.0,
1997-04-10 00:00:00+00:00,8.25,8.25,8.0625,6.834732055664063,121600,0.0,
1997-04-11 00:00:00+00:00,8.0625,8.25,8.0625,6.756470203399658,149800,0.0,
1997-04-14 00:00:00+00:00,8.25,8.25,7.875,6.626036643981934,180000,0.0,
1997-04-15 00:00:00+00:00,8.0,8.5625,7.875,7.147773265838623,144400,0.0,
1997-04-16 00:00:00+00:00,8.625,9.0,8.375,7.252118587493896,206000,0.0,
1997-04-17 00:00:00+00:00,8.875,8.875,8.625,7.408638477325439,40200,0.0,
1997-04-18 00:00:00+00:00,8.625,8.875,8.5625,7.199945449829102,64400,0.0,
1997-04-21 00:00:00+00:00,8.625,9.375,8.625,7.617334365844727,101200,0.0,
1997-04-22 00:00:00+00:00,9.25,9.75,9.0,7.930375099182129,114200,0.0,
1997-04-23 00:00:00+00:00,9.75,10.0,9.5,8.347762107849121,177200,0.0,
1997-04-24 00:00:00+00:00,10.0,10.8125,10.0,8.76515007019043,313600,0.0,
1997-04-25 00:00:00+00:00,10.75,10.875,10.125,8.452108383178711,146000,0.0,
1997-04-28 00:00:00+00:00,10.0,10.375,9.25,7.930375099182129,293600,0.0,
1997-04-29 00:00:00+00:00,9.875,9.875,9.0,7.512988567352295,157800,0.0,
1997-04-30 00:00:00+00:00,9.8125,10.5625,9.625,8.76515007019043,438200,0.0,
1997-05-01 00:00:00+00:00,10.5,10.75,9.875,8.660802841186523,148400,0.0,
1997-05-02 00:00:00+00:00,10.375,10.375,9.875,8.243413925170898,59400,0.0,
1997-05-05 00:00:00+00:00,10.125,10.25,9.875,8.556455612182617,39000,0.0,
1997-05-06 00:00:00+00:00,10.0,10.375,10.0,8.347762107849121,89400,0.0,
1997-05-07 00:00:00+00:00,10.25,10.25,10.125,8.50428295135498,30600,0.0,
1997-05-08 00:00:00+00:00,10.0,10.25,10.0,8.399935722351074,29000,0.0,
1997-05-09 00:00:00+00:00,10.1875,10.25,10.0625,8.556455612182617,20200,0.0,
1997-05-12 00:00:00+00:00,10.375,10.375,10.125,8.556455612182617,20800,0.0,
1997-05-13 00:00:00+00:00,10.25,10.875,10.25,8.76515007019043,109000,0.0,
1997-05-14 00:00:00+00:00,10.625,11.125,10.5625,9.07819366455078,172400,0.0,
1997-05-15 00:00:00+00:00,11.125,12.125,10.875,9.80861759185791,88200,0.0,
1997-05-16 00:00:00+00:00,11.75,11.875,11.375,9.70427417755127,101200,0.0,
1997-05-19 00:00:00+00:00,11.625,11.625,11.375,9.599929809570312,20200,0.0,
1997-05-20 00:00:00+00:00,11.625,11.625,11.0,9.3912353515625,34800,0.0,
1997-05-21 00:00:00+00:00,11.375,11.375,11.0,9.182536125183104,22000,0.0,
1997-05-22 00:00:00+00:00,11.375,12.125,11.0,9.912968635559082,90800,0.0,
1997-05-23 00:00:00+00:00,11.875,12.0625,11.875,10.017315864562988,28000,0.0,
1997-05-27 00:00:00+00:00,11.875,12.0625,11.875,9.912968635559082,73200,0.0,
1997-05-28 00:00:00+00:00,11.875,12.0,11.625,9.80861759185791,64800,0.0,
1997-05-29 00:00:00+00:00,11.625,12.25,11.625,9.912968635559082,67400,0.0,
1997-05-30 00:00:00+00:00,11.875,12.25,11.625,10.226009368896484,44000,0.0,
1997-06-02 00:00:00+00:00,12.25,12.875,12.25,10.43470573425293,185600,0.0,
1997-06-03 00:00:00+00:00,12.75,12.75,12.0,10.017315864562988,131200,0.0,
1997-06-04 00:00:00+00:00,12.5,12.6875,12.0,10.43470573425293,197200,0.0,
1997-06-05 00:00:00+00:00,12.75,13.3125,12.5,10.852089881896973,161400,0.0,
1997-06-06 00:00:00+00:00,12.875,13.125,12.875,10.852089881896973,19000,0.0,
1997-06-09 00:00:00+00:00,13.125,13.125,12.625,10.643400192260742,41600,0.0,
