date,SMN_Open,SMN_High,SMN_Low,SMN_Close,SMN_Volume,SMN_Dividends,SMN_Stock Splits
2007-02-02 00:00:00+00:00,5449.60009765625,5449.60009765625,5449.60009765625,2995.6201171875,1,0.0,
2007-02-05 00:00:00+00:00,5419.2001953125,5419.2001953125,5419.2001953125,2978.90966796875,63,0.0,
2007-02-06 00:00:00+00:00,5419.2001953125,5419.2001953125,5419.2001953125,2978.90966796875,0,0.0,
2007-02-07 00:00:00+00:00,5419.2001953125,5419.2001953125,5419.2001953125,2978.90966796875,0,0.0,
2007-02-08 00:00:00+00:00,5444.7998046875,5444.7998046875,5404.0,2970.5546875,189,0.0,
2007-02-09 00:00:00+00:00,5404.0,5404.0,5404.0,2970.5546875,0,0.0,
2007-02-12 00:00:00+00:00,5417.60009765625,5417.60009765625,5417.60009765625,2978.0302734375,3,0.0,
2007-02-13 00:00:00+00:00,5267.2001953125,5267.2001953125,5240.0,2880.404541015625,4,0.0,
2007-02-14 00:00:00+00:00,5204.0,5204.0,5145.60009765625,2835.548828125,64,0.0,
2007-02-15 00:00:00+00:00,5106.39990234375,5107.2001953125,5105.60009765625,2806.524658203125,24,0.0,
2007-02-16 00:00:00+00:00,5104.0,5104.7998046875,5104.0,2806.0849609375,4,0.0,
2007-02-20 00:00:00+00:00,5104.7998046875,5104.7998046875,5104.7998046875,2806.0849609375,0,0.0,
2007-02-21 00:00:00+00:00,4996.0,4996.0,4955.2001953125,2723.851318359375,6,0.0,
2007-02-22 00:00:00+00:00,4922.39990234375,4969.60009765625,4885.60009765625,2731.76708984375,114,0.0,
2007-02-23 00:00:00+00:00,4962.39990234375,4980.7998046875,4950.39990234375,2726.48974609375,65,0.0,
2007-02-26 00:00:00+00:00,4803.2001953125,4920.7998046875,4803.2001953125,2704.94140625,31,0.0,
2007-02-27 00:00:00+00:00,5166.39990234375,5456.0,5113.60009765625,2975.831298828125,2379,0.0,
2007-02-28 00:00:00+00:00,5353.60009765625,5379.2001953125,5231.2001953125,2875.5673828125,119,0.0,
2007-03-01 00:00:00+00:00,5520.7998046875,5567.2001953125,5299.2001953125,2944.608642578125,76,0.0,
