date,MED_Open,MED_High,MED_Low,MED_Close,MED_Volume,MED_Dividends,MED_Stock Splits
1993-12-30 00:00:00+00:00,4.5,5.5,4.5,4.163445472717285,658500,0.0,
1993-12-31 00:00:00+00:00,5.25,5.5,5.125,3.926886320114136,34500,0.0,
1994-01-03 00:00:00+00:00,5.0,5.375,5.0,3.974198341369629,12000,0.0,
1994-01-04 00:00:00+00:00,5.25,5.25,5.0,3.974198341369629,12300,0.0,
1994-01-05 00:00:00+00:00,5.125,5.1875,5.0,3.926886320114136,23100,0.0,
1994-01-06 00:00:00+00:00,5.0,5.25,5.0,3.87957501411438,15300,0.0,
1994-01-07 00:00:00+00:00,5.0,5.25,5.0,3.87957501411438,5900,0.0,
1994-01-10 00:00:00+00:00,5.25,5.25,5.25,3.974198341369629,100,0.0,
1994-01-11 00:00:00+00:00,5.125,5.125,5.0,3.87957501411438,11300,0.0,
1994-01-12 00:00:00+00:00,5.25,5.25,5.0,3.87957501411438,2500,0.0,
1994-01-13 00:00:00+00:00,5.0,5.25,5.0,3.7849509716033936,27500,0.0,
1994-01-14 00:00:00+00:00,5.25,5.25,5.0625,3.974198341369629,9400,0.0,
1994-01-17 00:00:00+00:00,5.0625,5.125,5.0,3.87957501411438,15400,0.0,
1994-01-18 00:00:00+00:00,5.375,5.375,5.375,4.068821907043457,4000,0.0,
1994-01-19 00:00:00+00:00,5.375,5.375,5.125,4.068821907043457,10300,0.0,
1994-01-20 00:00:00+00:00,5.375,5.375,5.375,4.068821907043457,0,0.0,
1994-01-21 00:00:00+00:00,5.375,5.5,5.25,3.974198341369629,15100,0.0,
1994-01-24 00:00:00+00:00,5.25,5.375,5.25,3.974198341369629,2200,0.0,
1994-01-25 00:00:00+00:00,5.25,5.375,5.25,3.974198341369629,2900,0.0,
1994-01-26 00:00:00+00:00,5.25,5.25,5.25,3.974198341369629,0,0.0,
1994-01-27 00:00:00+00:00,5.5,5.5,5.25,3.974198341369629,21000,0.0,
1994-01-28 00:00:00+00:00,5.375,5.5,5.25,3.974198341369629,9000,0.0,
1994-01-31 00:00:00+00:00,5.25,5.25,5.25,3.974198341369629,0,0.0,
1994-02-01 00:00:00+00:00,5.25,5.625,5.25,3.974198341369629,1800,0.0,
1994-02-02 00:00:00+00:00,5.5,5.5,5.5,4.163445472717285,200,0.0,
1994-02-03 00:00:00+00:00,5.5,5.5,5.5,4.163445472717285,0,0.0,
1994-02-04 00:00:00+00:00,5.625,5.625,5.375,4.258069515228272,10900,0.0,
1994-02-07 00:00:00+00:00,5.625,5.625,5.25,4.258069515228272,9500,0.0,
1994-02-08 00:00:00+00:00,5.625,5.625,5.625,4.258069515228272,0,0.0,
1994-02-09 00:00:00+00:00,5.5,5.5,5.375,4.068821907043457,2100,0.0,
1994-02-10 00:00:00+00:00,5.5,5.5,5.25,3.974198341369629,1500,0.0,
1994-02-11 00:00:00+00:00,5.375,5.375,5.375,4.068821907043457,200,0.0,
1994-02-14 00:00:00+00:00,5.25,5.5,5.25,4.163445472717285,700,0.0,
1994-02-15 00:00:00+00:00,5.25,5.25,5.25,3.974198341369629,20000,0.0,
