date,IMMR_Open,IMMR_High,IMMR_Low,IMMR_Close,IMMR_Volume,IMMR_Dividends,IMMR_Stock Splits
1999-11-12 00:00:00+00:00,15.875,20.0,5.5,17.77208137512207,7529100,0.0,
1999-11-15 00:00:00+00:00,19.40625,19.8125,18.25,18.010631561279297,1790700,0.0,
1999-11-16 00:00:00+00:00,19.0625,25.1875,19.0,22.4238338470459,1329300,0.0,
1999-11-17 00:00:00+00:00,25.5,27.375,24.5625,24.09368896484375,654700,0.0,
1999-11-18 00:00:00+00:00,26.125,31.375,25.4375,26.717758178710938,531200,0.0,
1999-11-19 00:00:00+00:00,28.625,28.875,24.25,23.735864639282227,378500,0.0,
1999-11-22 00:00:00+00:00,25.125,26.0,24.25,23.85514068603516,192100,0.0,
1999-11-23 00:00:00+00:00,25.0,25.25,21.75,22.066007614135746,549200,0.0,
1999-11-24 00:00:00+00:00,22.96875,23.25,21.5,21.708179473876957,323200,0.0,
1999-11-26 00:00:00+00:00,22.65625,24.0,22.375,22.900936126708984,254100,0.0,
1999-11-29 00:00:00+00:00,23.9375,27.25,23.375,24.09368896484375,298600,0.0,
1999-11-30 00:00:00+00:00,25.375,27.5,25.125,25.823190689086918,505400,0.0,
1999-12-01 00:00:00+00:00,27.125,27.125,25.375,25.047895431518555,147800,0.0,
1999-12-02 00:00:00+00:00,25.875,28.375,25.75,26.717758178710938,160200,0.0,
1999-12-03 00:00:00+00:00,27.78125,30.5,27.25,28.14906311035156,311700,0.0,
1999-12-06 00:00:00+00:00,29.8125,34.5,27.625,29.58037567138672,294000,0.0,
1999-12-07 00:00:00+00:00,29.0,30.875,28.3125,28.50689125061035,260900,0.0,
1999-12-08 00:00:00+00:00,31.375,35.9375,31.375,31.608060836791992,531300,0.0,
1999-12-09 00:00:00+00:00,33.375,39.25,33.125,37.45257186889648,378700,0.0,
1999-12-10 00:00:00+00:00,41.0,45.25,40.25,41.98504638671875,489700,0.0,
1999-12-13 00:00:00+00:00,44.375,49.625,42.125,45.80187225341797,624600,0.0,
1999-12-14 00:00:00+00:00,48.53125,49.9375,40.625,45.32476806640625,360900,0.0,
1999-12-15 00:00:00+00:00,47.0,47.625,43.5,41.98504638671875,250600,0.0,
1999-12-16 00:00:00+00:00,44.5,45.625,41.125,39.59953689575195,183200,0.0,
1999-12-17 00:00:00+00:00,41.5625,42.0,40.75,39.36098098754883,113900,0.0,
1999-12-20 00:00:00+00:00,41.125,42.75,40.375,38.52605056762695,105400,0.0,
1999-12-21 00:00:00+00:00,40.375,40.5,37.4375,36.14053726196289,215500,0.0,
1999-12-22 00:00:00+00:00,38.625,39.5,37.25,35.66343307495117,120800,0.0,
1999-12-23 00:00:00+00:00,37.3125,39.125,35.8125,34.470680236816406,206100,0.0,
1999-12-27 00:00:00+00:00,36.5,36.5,33.0,31.488784790039062,129100,0.0,
1999-12-28 00:00:00+00:00,32.5,33.125,31.375,29.997840881347656,227600,0.0,
1999-12-29 00:00:00+00:00,31.96875,37.875,31.96875,34.11285400390625,130400,0.0,
1999-12-30 00:00:00+00:00,35.75,37.875,35.0,34.709228515625,71100,0.0,
1999-12-31 00:00:00+00:00,36.375,39.0625,36.375,36.61764144897461,57700,0.0,
2000-01-03 00:00:00+00:00,38.375,39.125,37.125,35.84234619140625,32000,0.0,
2000-01-04 00:00:00+00:00,36.0,37.0,31.0,31.3695125579834,73300,0.0,
2000-01-05 00:00:00+00:00,33.0,33.5,31.0,31.965883255004883,199800,0.0,
2000-01-06 00:00:00+00:00,34.0,34.0,32.375,31.07132148742676,31300,0.0,
2000-01-07 00:00:00+00:00,32.78125,37.0,32.375,34.58995056152344,89800,0.0,
2000-01-10 00:00:00+00:00,37.625,37.875,33.875,32.442989349365234,49300,0.0,
2000-01-11 00:00:00+00:00,33.5,34.5,33.0,31.72733688354492,106800,0.0,
2000-01-12 00:00:00+00:00,33.25,33.5625,33.0,31.488784790039062,22700,0.0,
2000-01-13 00:00:00+00:00,33.40625,33.4375,32.4375,30.952045440673828,27900,0.0,
2000-01-14 00:00:00+00:00,32.59375,32.75,31.0,31.07132148742676,351000,0.0,
2000-01-18 00:00:00+00:00,32.75,38.25,32.0,35.54416275024414,99700,0.0,
2000-01-19 00:00:00+00:00,37.5,38.5,33.0,35.78270721435547,76400,0.0,
2000-01-20 00:00:00+00:00,37.375,38.125,35.875,34.8285026550293,53100,0.0,
2000-01-21 00:00:00+00:00,36.5,41.75,36.5,39.00315856933594,93900,0.0,
