date,TZA_Open,TZA_High,TZA_Low,TZA_Close,TZA_Volume,TZA_Dividends,TZA_Stock Splits
2008-11-19 00:00:00+00:00,917088.0,1130304.0,891168.0,1034362.625,84,0.0,
2008-11-20 00:00:00+00:00,1156320.0,1360608.0,1074720.0,1241305.75,142,0.0,
2008-11-21 00:00:00+00:00,1257600.0,1503168.0,1113984.0,1035334.1875,175,0.0,
2008-11-24 00:00:00+00:00,1068576.0,1123392.0,848160.0,815142.3125,107,0.0,
2008-11-25 00:00:00+00:00,846624.0,939168.0,833088.0,776456.5,109,0.0,
2008-11-26 00:00:00+00:00,903840.0,904992.0,688800.0,643528.875,154,0.0,
2008-11-28 00:00:00+00:00,723552.0,726336.0,665280.0,615088.4375,53,0.0,
2008-12-01 00:00:00+00:00,727776.0,912000.0,719040.0,828126.0625,200,0.0,
2008-12-02 00:00:00+00:00,850272.0,898944.0,744000.0,689015.75,200,0.0,
2008-12-03 00:00:00+00:00,806688.0,813984.0,668640.0,627277.1875,370,0.0,
2008-12-04 00:00:00+00:00,720000.0,789888.0,646464.0,691577.0,319,0.0,
2008-12-05 00:00:00+00:00,790560.0,840000.0,640800.0,596275.375,365,0.0,
2008-12-08 00:00:00+00:00,598656.0,610080.0,544224.0,518903.6875,264,0.0,
2008-12-09 00:00:00+00:00,578304.0,625632.0,518400.0,562535.6875,383,0.0,
2008-12-10 00:00:00+00:00,590784.0,608160.0,543072.0,524644.6875,315,0.0,
2008-12-11 00:00:00+00:00,587616.0,674016.0,564192.0,603076.5,315,0.0,
2008-12-12 00:00:00+00:00,705984.0,720384.0,580608.0,538158.375,320,0.0,
2008-12-15 00:00:00+00:00,570336.0,669120.0,565920.0,592477.5625,249,0.0,
2008-12-16 00:00:00+00:00,603744.0,609504.0,511680.0,471296.96875,244,0.0,
2008-12-17 00:00:00+00:00,529440.0,540000.0,478080.0,458578.3125,235,0.0,
2008-12-18 00:00:00+00:00,502080.0,544800.0,474336.0,475889.875,243,0.0,
2008-12-19 00:00:00+00:00,491040.0,516960.0,459360.0,457341.78125,277,0.0,
2008-12-22 00:00:00+00:00,493728.0,579840.0,493728.0,489226.75,275,0.0,
2008-12-23 00:00:00+00:00,522048.0,564960.0,510720.0,514134.125,244,0.0,
2008-12-24 00:00:00+00:00,552096.0,572352.0,540000.0,505743.3125,89,0.0,
2008-12-26 00:00:00+00:00,532224.0,553248.0,523200.0,481365.9375,114,0.0,
2008-12-29 00:00:00+00:00,529440.0,579264.0,524064.0,512279.40625,193,0.0,
