date,AADR_Open,AADR_High,AADR_Low,AADR_Close,AADR_Volume,AADR_Dividends,AADR_Stock Splits
2010-07-21 00:00:00+00:00,25.100000381469727,25.100000381469727,24.700000762939453,21.908954620361328,42000,0.0,
2010-07-22 00:00:00+00:00,25.420000076293945,25.420000076293945,25.1299991607666,22.40567779541016,17500,0.0,
2010-07-23 00:00:00+00:00,25.540000915527344,25.540000915527344,25.07999992370605,22.423412322998047,8600,0.0,
2010-07-26 00:00:00+00:00,25.399999618530277,25.399999618530277,25.21999931335449,22.50324440002441,18900,0.0,
2010-07-27 00:00:00+00:00,25.25,25.290000915527344,25.200000762939453,22.432281494140625,8200,0.0,
2010-07-28 00:00:00+00:00,25.25,25.290000915527344,25.1200008392334,22.352445602416992,4900,0.0,
2010-07-29 00:00:00+00:00,25.299999237060547,25.299999237060547,25.020000457763672,22.192798614501957,1200,0.0,
2010-07-30 00:00:00+00:00,24.989999771118164,25.100000381469727,24.989999771118164,22.26375389099121,600,0.0,
2010-08-02 00:00:00+00:00,25.700000762939453,25.709999084472656,25.440000534057617,22.72499656677246,7000,0.0,
2010-08-03 00:00:00+00:00,25.75,25.86000061035156,25.75,22.91126251220703,11200,0.0,
2010-08-04 00:00:00+00:00,25.86000061035156,25.86000061035156,25.86000061035156,22.93787956237793,500,0.0,
2010-08-05 00:00:00+00:00,25.90999984741211,25.90999984741211,25.90999984741211,22.98222923278809,500,0.0,
2010-08-06 00:00:00+00:00,25.309999465942383,25.709999084472656,25.309999465942383,22.80482482910156,700,0.0,
2010-08-09 00:00:00+00:00,26.0,26.229999542236328,26.0,23.115272521972656,5500,0.0,
2010-08-10 00:00:00+00:00,26.07999992370605,26.07999992370605,26.07999992370605,23.133012771606445,500,0.0,
2010-08-11 00:00:00+00:00,25.170000076293945,25.170000076293945,25.170000076293945,22.32583999633789,100,0.0,
2010-08-12 00:00:00+00:00,25.040000915527344,25.040000915527344,25.040000915527344,22.210533142089844,1000,0.0,
2010-08-13 00:00:00+00:00,25.170000076293945,25.170000076293945,25.170000076293945,22.32583999633789,100,0.0,
