date,CLMT_Open,CLMT_High,CLMT_Low,CLMT_Close,CLMT_Volume,CLMT_Dividends,CLMT_Stock Splits
2006-01-26 00:00:00+00:00,22.020000457763672,22.5,21.700000762939453,8.753094673156738,3694400,0.0,
2006-01-27 00:00:00+00:00,22.149999618530277,22.3799991607666,21.739999771118164,8.934196472167969,427300,0.0,
2006-01-30 00:00:00+00:00,22.350000381469727,23.68000030517578,22.100000381469727,9.256148338317873,318400,0.0,
2006-01-31 00:00:00+00:00,23.5,23.700000762939453,23.200000762939453,9.537856101989746,264400,0.0,
2006-02-01 00:00:00+00:00,24.0,24.0,23.549999237060547,9.6183443069458,143800,0.0,
2006-02-02 00:00:00+00:00,24.0,24.0,23.5,9.658588409423828,178000,0.0,
2006-02-03 00:00:00+00:00,24.06999969482422,24.25,23.65999984741211,9.654563903808594,212500,0.0,
2006-02-06 00:00:00+00:00,24.18000030517578,24.75,24.0,9.859807014465332,122500,0.0,
2006-02-07 00:00:00+00:00,24.5,24.950000762939453,24.100000381469727,9.819561958312988,115200,0.0,
2006-02-08 00:00:00+00:00,24.989999771118164,24.989999771118164,23.450000762939453,9.83968734741211,34000,0.0,
2006-02-09 00:00:00+00:00,23.96999931335449,24.899999618530277,23.96999931335449,9.718955039978027,28800,0.0,
2006-02-10 00:00:00+00:00,24.489999771118164,24.5,23.25,9.461390495300291,52000,0.0,
2006-02-13 00:00:00+00:00,23.34000015258789,24.5,23.34000015258789,9.457367897033691,13700,0.0,
2006-02-14 00:00:00+00:00,23.549999237060547,23.649999618530277,22.68000030517578,9.21187973022461,66700,0.0,
2006-02-15 00:00:00+00:00,22.65999984741211,23.040000915527344,22.5,9.095171928405762,58100,0.0,
2006-02-16 00:00:00+00:00,22.989999771118164,23.600000381469727,22.68000030517578,9.457367897033691,31200,0.0,
2006-02-17 00:00:00+00:00,23.75,23.770000457763672,23.049999237060547,9.276269912719728,34900,0.0,
2006-02-21 00:00:00+00:00,23.489999771118164,23.770000457763672,23.01000022888184,9.566025733947754,35400,0.0,
2006-02-22 00:00:00+00:00,23.5,23.770000457763672,23.09000015258789,9.376882553100586,22900,0.0,
2006-02-23 00:00:00+00:00,23.739999771118164,24.43000030517578,23.549999237060547,9.831637382507324,25800,0.0,
2006-02-24 00:00:00+00:00,24.5,25.43000030517578,23.100000381469727,10.040905952453612,57300,0.0,
2006-02-27 00:00:00+00:00,24.549999237060547,24.559999465942383,23.600000381469727,9.537856101989746,114600,0.0,
2006-02-28 00:00:00+00:00,23.59000015258789,24.209999084472656,23.270000457763672,9.537856101989746,50300,0.0,
2006-03-01 00:00:00+00:00,23.549999237060547,24.399999618530277,23.420000076293945,9.545906066894531,78400,0.0,
2006-03-02 00:00:00+00:00,24.0,24.0,23.46999931335449,9.658588409423828,61500,0.0,
2006-03-03 00:00:00+00:00,24.0,24.299999237060547,23.850000381469727,9.67468547821045,18400,0.0,
