date,SM_Open,SM_High,SM_Low,SM_Close,SM_Volume,SM_Dividends,SM_Stock Splits
1992-12-16 00:00:00+00:00,2.75,2.875,2.75,2.281294107437134,2000000,0.0,
1992-12-17 00:00:00+00:00,2.875,2.875,2.75,2.281294107437134,143600,0.0,
1992-12-18 00:00:00+00:00,2.75,2.875,2.75,2.281294107437134,196000,0.0,
1992-12-21 00:00:00+00:00,2.875,2.875,2.75,2.281294107437134,136000,0.0,
1992-12-22 00:00:00+00:00,2.875,2.875,2.75,2.281294107437134,378000,0.0,
1992-12-23 00:00:00+00:00,2.75,2.8125,2.75,2.281294107437134,110000,0.0,
1992-12-24 00:00:00+00:00,2.75,2.875,2.75,2.33314061164856,61200,0.0,
1992-12-28 00:00:00+00:00,2.75,2.875,2.75,2.307217597961426,21200,0.0,
1992-12-29 00:00:00+00:00,2.875,2.875,2.78125,2.307217597961426,21600,0.0,
1992-12-30 00:00:00+00:00,2.78125,2.78125,2.78125,2.307217597961426,14000,0.0,
1992-12-31 00:00:00+00:00,2.875,2.875,2.8125,2.3849895000457764,4400,0.0,
1993-01-04 00:00:00+00:00,2.875,3.0625,2.78125,2.540531873703003,156800,0.0,
1993-01-05 00:00:00+00:00,3.0625,3.0625,2.9375,2.4886839389801025,260400,0.0,
1993-01-06 00:00:00+00:00,3.0625,3.0625,2.9375,2.4886839389801025,80000,0.0,
1993-01-07 00:00:00+00:00,2.9375,3.0,2.875,2.3849895000457764,61600,0.0,
1993-01-08 00:00:00+00:00,2.875,2.875,2.8125,2.33314061164856,49200,0.0,
1993-01-11 00:00:00+00:00,2.9375,2.9375,2.8125,2.33314061164856,6000,0.0,
1993-01-12 00:00:00+00:00,2.875,2.9375,2.8125,2.3849895000457764,52400,0.0,
1993-01-13 00:00:00+00:00,2.875,2.875,2.8125,2.3590657711029053,27600,0.0,
1993-01-14 00:00:00+00:00,2.8125,2.8125,2.8125,2.33314061164856,16400,0.0,
1993-01-15 00:00:00+00:00,2.875,2.875,2.8125,2.33314061164856,58400,0.0,
1993-01-18 00:00:00+00:00,2.875,2.875,2.8125,2.3590657711029053,18800,0.0,
1993-01-19 00:00:00+00:00,2.875,2.90625,2.8125,2.3849895000457764,106400,0.0,
