date,DPSI_Open,DPSI_High,DPSI_Low,DPSI_Close,DPSI_Volume,DPSI_Dividends,DPSI_Stock Splits
2010-12-03 00:00:00+00:00,2250.0,2250.0,2250.0,2250.0,0.0,,
2010-12-06 00:00:00+00:00,2260.0,2260.0,2250.0,2250.0,0.0,,
2010-12-07 00:00:00+00:00,2250.0,2250.10009765625,2250.0,2250.10009765625,1.0,,
2010-12-08 00:00:00+00:00,2260.0,2260.0,2010.0,2200.0,9.0,,
2010-12-09 00:00:00+00:00,2220.0,2220.0,2200.0,2200.10009765625,0.0,,
2010-12-10 00:00:00+00:00,2250.0,2250.0,2200.0,2200.10009765625,0.0,,
2010-12-13 00:00:00+00:00,2190.0,2190.0,2190.0,2190.0,0.0,,
2010-12-14 00:00:00+00:00,2150.0,2150.89990234375,2150.0,2150.89990234375,2.0,,
2010-12-15 00:00:00+00:00,2150.0,2150.10009765625,2150.0,2150.10009765625,1.0,,
2010-12-16 00:00:00+00:00,2150.0,2151.0,2150.0,2151.0,2.0,,
2010-12-17 00:00:00+00:00,2110.0,2110.0,2100.0,2100.10009765625,2.0,,
2010-12-20 00:00:00+00:00,2100.0,2100.0,2050.0,2050.0,4.0,,
2010-12-21 00:00:00+00:00,2070.0,2070.0,1890.0,1900.0999755859373,8.0,,
2010-12-22 00:00:00+00:00,2000.0,2000.0999755859373,2000.0,2000.0,4.0,,
2010-12-23 00:00:00+00:00,2000.0,2000.0,2000.0,2000.0,0.0,,
2010-12-27 00:00:00+00:00,1900.0,1910.0,1700.0,1700.0,5.0,,
2010-12-28 00:00:00+00:00,1800.0,1810.0,1800.0,1810.0,3.0,,
2010-12-29 00:00:00+00:00,1800.0,1800.0,1800.0,1800.0,3.0,,
2010-12-30 00:00:00+00:00,1800.0,1800.0,1750.0,1750.0,3.0,,
2010-12-31 00:00:00+00:00,1750.0,1750.0,1700.0,1700.0,5.0,,
2011-01-03 00:00:00+00:00,1700.0,1780.0,1700.0,1700.0,1.0,,
2011-01-04 00:00:00+00:00,1700.0,1700.0,1700.0,1700.0,3.0,,
2011-01-05 00:00:00+00:00,1700.0,1700.0,1700.0,1700.0,0.0,,
2011-01-06 00:00:00+00:00,1650.0,1650.0,1550.0,1550.0,6.0,,
2011-01-07 00:00:00+00:00,1560.0,1600.0,1550.0,1550.0,11.0,,
2011-01-10 00:00:00+00:00,1550.0,1550.0,1550.0,1550.0,0.0,,
2011-01-11 00:00:00+00:00,1550.0,1550.0,1550.0,1550.0,0.0,,
2011-01-12 00:00:00+00:00,1550.0,1550.0,1550.0,1550.0,3.0,,
2011-01-13 00:00:00+00:00,1550.0,1550.0,1500.0,1500.0,5.0,,
2011-01-14 00:00:00+00:00,1700.0,1700.0,1500.0,1520.0,3.0,,
2011-01-18 00:00:00+00:00,1520.0,1520.0,1520.0,1520.0,0.0,,
2011-01-19 00:00:00+00:00,1520.0,1520.0,1500.0,1500.0,15.0,,
2011-01-20 00:00:00+00:00,1550.0,1550.0,1500.0,1500.0,14.0,,
2011-01-21 00:00:00+00:00,1500.0,1500.0,1500.0,1500.0,0.0,,
2011-01-24 00:00:00+00:00,1640.0,1920.0,1640.0,1880.0,8.0,,
2011-01-25 00:00:00+00:00,1910.0,1940.0,1600.0,1600.0,1.0,,
2011-01-26 00:00:00+00:00,1600.0,1880.0,1600.0,1880.0,1.0,,
2011-01-27 00:00:00+00:00,2000.0,2000.0,2000.0,2000.0,1.0,,
2011-01-28 00:00:00+00:00,1750.0,2050.0,1750.0,2040.0,9.0,,
2011-01-31 00:00:00+00:00,2000.0,2200.0,2000.0,2200.0,3.0,,
2011-02-01 00:00:00+00:00,2250.0,2400.0,1900.0,2200.0,4.0,,
2011-02-02 00:00:00+00:00,2200.0,2200.0,2200.0,2200.0,0.0,,
2011-02-03 00:00:00+00:00,2000.0,2000.0,1900.0,1900.0,2.0,,
2011-02-04 00:00:00+00:00,1900.0,2200.0,1900.0,1900.0,0.0,,
2011-02-07 00:00:00+00:00,2100.0,2200.0,2050.0,2050.0,3.0,,
2011-02-08 00:00:00+00:00,2020.0,2020.0,1950.0,1950.0,3.0,,
2011-02-09 00:00:00+00:00,1950.0,2020.0,1950.0,2020.0,1.0,,
2011-02-10 00:00:00+00:00,1950.0,1950.0,1950.0,1950.0,1.0,,
2011-02-11 00:00:00+00:00,2000.0,2240.0,2000.0,2150.0,8.0,,
2011-02-14 00:00:00+00:00,2150.0,2240.0,2150.0,2240.0,1.0,,
2011-02-15 00:00:00+00:00,2000.0,2300.0,2000.0,2300.0,0.0,,
2011-02-16 00:00:00+00:00,2000.0,2350.0,2000.0,2350.0,0.0,,
2011-02-17 00:00:00+00:00,2250.0,2250.0,2100.0,2100.0,2.0,,
2011-02-18 00:00:00+00:00,2350.0,2350.0,2250.0,2350.0,5.0,,
2011-02-22 00:00:00+00:00,2350.0,2500.0,2250.0,2500.0,3.0,,
2011-02-23 00:00:00+00:00,2280.0,2500.0,2280.0,2500.0,3.0,,
2011-02-24 00:00:00+00:00,2350.0,2350.0,2300.0,2350.0,4.0,,
2011-02-25 00:00:00+00:00,2350.0,2650.0,2280.0,2650.0,11.0,,
2011-02-28 00:00:00+00:00,2430.0,2430.0,2420.0,2420.0,0.0,,
2011-03-01 00:00:00+00:00,2650.0,2720.0,2650.0,2650.0,3.0,,
2011-03-02 00:00:00+00:00,2650.0,2720.0,2650.0,2660.0,1.0,,
2011-03-03 00:00:00+00:00,2660.0,2660.0,2660.0,2660.0,0.0,,
2011-03-04 00:00:00+00:00,2700.0,2950.0,2660.0,2950.0,8.0,,
2011-03-07 00:00:00+00:00,2720.0,2720.0,2720.0,2720.0,1.0,,
2011-03-08 00:00:00+00:00,2660.0,2950.0,2660.0,2950.0,11.0,,
2011-03-09 00:00:00+00:00,2950.0,2950.0,2660.0,2800.0,11.0,,
2011-03-10 00:00:00+00:00,2950.0,3000.0,2900.0,2900.0,12.0,,
2011-03-11 00:00:00+00:00,2900.0,3240.0,2900.0,3240.0,6.0,,
2011-03-14 00:00:00+00:00,3000.0,3000.0,3000.0,3000.0,0.0,,
2011-03-15 00:00:00+00:00,2900.0,2900.0,2900.0,2900.0,1.0,,
2011-03-16 00:00:00+00:00,2900.0,2900.0,2900.0,2900.0,1.0,,
2011-03-17 00:00:00+00:00,2900.0,2900.0,2700.0,2900.0,9.0,,
