date,PRGO_Open,PRGO_High,PRGO_Low,PRGO_Close,PRGO_Volume,PRGO_Dividends,PRGO_Stock Splits
1991-12-17 00:00:00+00:00,10.0,11.75,10.0,9.112586975097656,15815400,0.0,
1991-12-18 00:00:00+00:00,11.5,11.625,11.375,9.014602661132812,2662600,0.0,
1991-12-19 00:00:00+00:00,11.375,11.5,11.125,8.818634033203125,1017600,0.0,
1991-12-20 00:00:00+00:00,11.5,11.625,11.25,9.014602661132812,513800,0.0,
1991-12-23 00:00:00+00:00,11.375,11.875,11.375,9.308558464050291,493200,0.0,
1991-12-24 00:00:00+00:00,11.875,12.125,11.625,9.406538963317873,492400,0.0,
1991-12-26 00:00:00+00:00,11.875,13.75,11.875,10.582361221313477,582600,0.0,
1991-12-27 00:00:00+00:00,13.5,13.625,12.875,10.582361221313477,720800,0.0,
1991-12-30 00:00:00+00:00,13.375,15.375,13.375,11.170270919799805,1435000,0.0,
1991-12-31 00:00:00+00:00,14.5,14.875,14.25,11.660189628601074,440800,0.0,
1992-01-02 00:00:00+00:00,14.5,14.75,13.875,11.170270919799805,1389600,0.0,
1992-01-03 00:00:00+00:00,14.25,15.25,14.25,11.856165885925291,353800,0.0,
1992-01-06 00:00:00+00:00,15.125,15.5,14.875,12.150116920471191,442800,0.0,
1992-01-07 00:00:00+00:00,15.375,15.375,14.875,11.758180618286133,666200,0.0,
1992-01-08 00:00:00+00:00,14.75,15.375,14.625,11.758180618286133,975000,0.0,
1992-01-09 00:00:00+00:00,15.125,15.125,14.5,11.366238594055176,376800,0.0,
1992-01-10 00:00:00+00:00,14.75,14.875,14.5,11.660189628601074,426600,0.0,
1992-01-13 00:00:00+00:00,15.0,15.25,14.625,11.954148292541504,62600,0.0,
1992-01-14 00:00:00+00:00,15.25,15.3125,14.875,11.856165885925291,56800,0.0,
1992-01-15 00:00:00+00:00,15.0,15.25,14.875,11.758180618286133,251600,0.0,
1992-01-16 00:00:00+00:00,14.875,15.125,14.375,11.562209129333496,801000,0.0,
1992-01-17 00:00:00+00:00,14.5,14.625,14.25,11.268251419067385,288400,0.0,
1992-01-20 00:00:00+00:00,14.375,14.625,13.625,10.68034839630127,242800,0.0,
1992-01-21 00:00:00+00:00,13.5,13.625,12.125,10.582361221313477,823200,0.0,
1992-01-22 00:00:00+00:00,13.375,13.875,13.375,10.778332710266112,171400,0.0,
1992-01-23 00:00:00+00:00,14.25,14.875,14.0,11.562209129333496,578800,0.0,
1992-01-24 00:00:00+00:00,15.0,15.625,14.625,12.150116920471191,591600,0.0,
1992-01-27 00:00:00+00:00,15.375,15.75,15.375,12.150116920471191,484800,0.0,
1992-01-28 00:00:00+00:00,15.75,15.75,15.375,12.248101234436035,556200,0.0,
1992-01-29 00:00:00+00:00,15.75,16.25,15.625,12.444073677062988,410000,0.0,
1992-01-30 00:00:00+00:00,15.625,16.0,15.625,12.49306297302246,195000,0.0,
1992-01-31 00:00:00+00:00,15.75,16.25,15.75,12.542057037353516,194600,0.0,
1992-02-03 00:00:00+00:00,16.0,16.25,16.0,12.738021850585938,70600,0.0,
1992-02-04 00:00:00+00:00,16.25,16.625,16.0,12.836010932922363,494600,0.0,
1992-02-05 00:00:00+00:00,16.375,16.5,16.25,12.738021850585938,196400,0.0,
1992-02-06 00:00:00+00:00,16.25,16.5,16.25,12.933993339538574,524000,0.0,
1992-02-07 00:00:00+00:00,16.5,16.625,16.25,13.031982421875,183600,0.0,
1992-02-10 00:00:00+00:00,16.625,16.875,16.375,13.22795295715332,125000,0.0,
1992-02-11 00:00:00+00:00,16.875,17.125,16.0,13.031982421875,517400,0.0,
1992-02-12 00:00:00+00:00,16.75,16.875,16.5,13.031982421875,153800,0.0,
1992-02-13 00:00:00+00:00,16.9375,17.0,16.375,12.933993339538574,292800,0.0,
1992-02-14 00:00:00+00:00,16.375,16.5,16.125,12.738021850585938,234400,0.0,
1992-02-18 00:00:00+00:00,16.25,16.5,16.125,12.836010932922363,171800,0.0,
1992-02-19 00:00:00+00:00,16.5,16.5,15.875,12.542057037353516,278200,0.0,
1992-02-20 00:00:00+00:00,16.25,16.75,16.0,12.836010932922363,613600,0.0,
1992-02-21 00:00:00+00:00,16.75,17.875,16.625,13.91384506225586,600800,0.0,
1992-02-24 00:00:00+00:00,17.75,17.75,16.625,13.031982421875,348800,0.0,
1992-02-25 00:00:00+00:00,16.75,16.75,15.625,12.640048027038574,304600,0.0,
1992-02-26 00:00:00+00:00,15.875,16.375,15.875,12.738021850585938,104800,0.0,
1992-02-27 00:00:00+00:00,16.25,16.25,15.375,12.346084594726562,199400,0.0,
1992-02-28 00:00:00+00:00,15.375,15.75,15.375,12.346084594726562,106200,0.0,
1992-03-02 00:00:00+00:00,15.75,15.75,15.0,11.954148292541504,503600,0.0,
1992-03-03 00:00:00+00:00,15.0,15.25,14.625,11.660189628601074,274000,0.0,
1992-03-04 00:00:00+00:00,14.75,14.75,14.375,11.513214111328123,810200,0.0,
1992-03-05 00:00:00+00:00,14.625,15.625,14.625,11.856165885925291,378400,0.0,
1992-03-06 00:00:00+00:00,15.125,15.25,14.75,11.562209129333496,163800,0.0,
1992-03-09 00:00:00+00:00,15.125,15.25,14.75,11.856165885925291,108400,0.0,
1992-03-10 00:00:00+00:00,15.25,15.75,15.125,12.346084594726562,144200,0.0,
1992-03-11 00:00:00+00:00,15.75,15.75,15.0625,12.052131652832031,189600,0.0,
1992-03-12 00:00:00+00:00,15.25,15.5,15.125,12.150116920471191,78200,0.0,
1992-03-13 00:00:00+00:00,15.25,15.5,15.25,11.954148292541504,47200,0.0,
1992-03-16 00:00:00+00:00,15.5,15.5,15.0,12.052131652832031,51400,0.0,
1992-03-17 00:00:00+00:00,15.375,15.375,14.875,11.954148292541504,164000,0.0,
1992-03-18 00:00:00+00:00,15.125,15.125,14.625,11.660189628601074,250800,0.0,
1992-03-19 00:00:00+00:00,14.875,14.875,14.625,11.562209129333496,131400,0.0,
1992-03-20 00:00:00+00:00,14.875,15.5,14.6875,12.003138542175291,89400,0.0,
1992-03-23 00:00:00+00:00,15.375,15.75,15.125,12.150116920471191,239200,0.0,
1992-03-24 00:00:00+00:00,15.375,15.75,15.375,12.346084594726562,141000,0.0,
1992-03-25 00:00:00+00:00,15.75,15.75,15.375,12.297097206115724,9200,0.0,
1992-03-26 00:00:00+00:00,15.75,16.5,15.6875,12.836010932922363,101800,0.0,
1992-03-27 00:00:00+00:00,16.375,16.375,16.125,12.836010932922363,88200,0.0,
1992-03-30 00:00:00+00:00,16.25,16.375,16.25,12.836010932922363,74400,0.0,
1992-03-31 00:00:00+00:00,16.375,16.6875,16.25,12.836010932922363,85000,0.0,
1992-04-01 00:00:00+00:00,16.25,16.625,16.25,12.933993339538574,123800,0.0,
1992-04-02 00:00:00+00:00,16.625,16.625,15.875,12.444073677062988,75600,0.0,
1992-04-03 00:00:00+00:00,15.875,16.125,15.5,12.150116920471191,60200,0.0,
1992-04-06 00:00:00+00:00,15.5,15.875,15.5,12.150116920471191,38800,0.0,
1992-04-07 00:00:00+00:00,15.5,15.875,15.25,11.954148292541504,102000,0.0,
1992-04-08 00:00:00+00:00,15.0,15.125,14.375,11.562209129333496,241800,0.0,
1992-04-09 00:00:00+00:00,15.0,15.0,14.625,11.758180618286133,370600,0.0,
1992-04-10 00:00:00+00:00,15.125,15.75,15.125,12.248101234436035,50400,0.0,
1992-04-13 00:00:00+00:00,15.75,16.375,15.5,12.836010932922363,104200,0.0,
1992-04-14 00:00:00+00:00,16.375,16.875,16.375,13.031982421875,111400,0.0,
1992-04-15 00:00:00+00:00,17.0,17.5,16.75,13.71787452697754,184000,0.0,
1992-04-16 00:00:00+00:00,17.5,17.5,16.25,12.738021850585938,211200,0.0,
1992-04-20 00:00:00+00:00,16.25,16.5,15.25,12.346084594726562,146000,0.0,
1992-04-21 00:00:00+00:00,15.5,15.75,15.5,12.297097206115724,73000,0.0,
1992-04-22 00:00:00+00:00,15.875,15.875,15.625,12.248101234436035,91000,0.0,
1992-04-23 00:00:00+00:00,15.875,15.875,15.125,12.052131652832031,142600,0.0,
1992-04-24 00:00:00+00:00,15.375,15.375,14.75,11.758180618286133,129600,0.0,
1992-04-27 00:00:00+00:00,15.125,15.125,13.375,10.97429656982422,549200,0.0,
1992-04-28 00:00:00+00:00,13.75,14.0,13.75,10.778332710266112,181000,0.0,
1992-04-29 00:00:00+00:00,14.0,14.625,13.75,11.366238594055176,212200,0.0,
1992-04-30 00:00:00+00:00,14.75,15.75,14.625,12.248101234436035,274200,0.0,
1992-05-01 00:00:00+00:00,15.625,15.625,15.25,11.954148292541504,30600,0.0,
1992-05-04 00:00:00+00:00,15.25,15.625,15.25,11.954148292541504,6400,0.0,
1992-05-05 00:00:00+00:00,15.625,15.625,15.25,12.150116920471191,1600,0.0,
1992-05-06 00:00:00+00:00,15.625,15.625,15.25,11.954148292541504,13600,0.0,
1992-05-07 00:00:00+00:00,15.25,15.625,15.25,11.954148292541504,11600,0.0,
1992-05-08 00:00:00+00:00,15.125,15.5,15.125,11.856165885925291,480800,0.0,
1992-05-11 00:00:00+00:00,15.125,15.5,15.125,12.052131652832031,192800,0.0,
1992-05-12 00:00:00+00:00,15.125,15.375,15.125,11.856165885925291,49800,0.0,
1992-05-13 00:00:00+00:00,15.125,15.375,15.125,11.856165885925291,25200,0.0,
1992-05-14 00:00:00+00:00,15.125,15.375,15.125,12.052131652832031,156200,0.0,
1992-05-15 00:00:00+00:00,15.25,15.25,14.5,11.660189628601074,895400,0.0,
1992-05-18 00:00:00+00:00,14.875,14.875,14.375,11.41523551940918,121000,0.0,
1992-05-19 00:00:00+00:00,14.75,14.75,14.5,11.562209129333496,54200,0.0,
1992-05-20 00:00:00+00:00,14.75,14.75,14.3125,11.268251419067385,38800,0.0,
1992-05-21 00:00:00+00:00,14.125,14.125,13.5,11.02329444885254,273600,0.0,
1992-05-22 00:00:00+00:00,14.25,14.25,14.0,11.121272087097168,41000,0.0,
