date,HIMX_Open,HIMX_High,HIMX_Low,HIMX_Close,HIMX_Volume,HIMX_Dividends,HIMX_Stock Splits
2006-03-31 00:00:00+00:00,9.119999885559082,9.34000015258789,8.5,3.5658090114593506,24694300,0.0,
2006-04-03 00:00:00+00:00,8.75,9.100000381469728,8.699999809265137,3.688065052032471,6571500,0.0,
2006-04-04 00:00:00+00:00,9.09000015258789,9.449999809265137,9.0,3.7288177013397217,1529200,0.0,
2006-04-05 00:00:00+00:00,9.149999618530272,9.289999961853027,9.0,3.6717641353607178,1186100,0.0,
2006-04-06 00:00:00+00:00,9.199999809265137,9.420000076293944,9.0,3.7695698738098153,2304200,0.0,
2006-04-07 00:00:00+00:00,9.3100004196167,9.329999923706056,9.0,3.741042852401733,1963900,0.0,
2006-04-10 00:00:00+00:00,9.050000190734863,9.170000076293944,8.949999809265137,3.688065052032471,1143100,0.0,
2006-04-11 00:00:00+00:00,9.079999923706056,9.100000381469728,8.0600004196167,3.362047910690308,1995200,0.0,
2006-04-12 00:00:00+00:00,8.199999809265137,8.489999771118164,8.100000381469727,3.341672658920288,861400,0.0,
2006-04-13 00:00:00+00:00,8.479999542236328,8.479999542236328,8.100000381469727,3.345747709274292,303600,0.0,
2006-04-17 00:00:00+00:00,8.25,8.300000190734863,8.109999656677246,3.321296215057373,178900,0.0,
2006-04-18 00:00:00+00:00,8.260000228881836,8.800000190734863,8.1899995803833,3.4680042266845703,598300,0.0,
2006-04-19 00:00:00+00:00,8.510000228881836,9.0,8.5,3.667688608169556,333600,0.0,
2006-04-20 00:00:00+00:00,8.920000076293945,9.050000190734863,8.789999961853027,3.688065052032471,1024400,0.0,
2006-04-21 00:00:00+00:00,9.100000381469728,9.100000381469728,8.260000228881836,3.402801036834717,635600,0.0,
2006-04-24 00:00:00+00:00,8.5,8.579999923706055,8.380000114440918,3.447627305984497,1099200,0.0,
2006-04-25 00:00:00+00:00,8.449999809265137,8.649999618530273,8.449999809265137,3.46392822265625,196600,0.0,
2006-04-26 00:00:00+00:00,8.479999542236328,9.039999961853027,8.479999542236328,3.643237590789795,693900,0.0,
2006-04-27 00:00:00+00:00,8.859999656677246,8.989999771118164,8.739999771118164,3.643237590789795,2263500,0.0,
