date,PKX_Open,PKX_High,PKX_Low,PKX_Close,PKX_Volume,PKX_Dividends,PKX_Stock Splits
1994-10-14 00:00:00+00:00,37.75,37.875,37.0,29.37217140197754,1559900,0.0,
1994-10-17 00:00:00+00:00,36.75,36.75,35.5,27.992265701293945,564100,0.0,
1994-10-18 00:00:00+00:00,35.75,35.75,35.625,28.189393997192383,191200,0.0,
1994-10-19 00:00:00+00:00,35.625,35.625,35.0,27.597999572753903,174100,0.0,
1994-10-20 00:00:00+00:00,35.0,35.0,34.75,27.597999572753903,96000,0.0,
1994-10-21 00:00:00+00:00,35.125,35.375,35.125,27.893699645996094,10800,0.0,
1994-10-24 00:00:00+00:00,35.125,35.375,35.0,27.597999572753903,67100,0.0,
1994-10-25 00:00:00+00:00,35.125,35.125,35.0,27.69657516479492,97400,0.0,
1994-10-26 00:00:00+00:00,34.875,34.875,33.875,26.71092414855957,60300,0.0,
1994-10-27 00:00:00+00:00,32.5,32.75,31.0,24.44395065307617,172600,0.0,
1994-10-28 00:00:00+00:00,31.5,32.875,31.5,25.92241477966309,92200,0.0,
1994-10-31 00:00:00+00:00,32.625,33.125,32.625,25.92241477966309,37000,0.0,
1994-11-01 00:00:00+00:00,32.875,33.375,32.875,26.020977020263672,28900,0.0,
1994-11-02 00:00:00+00:00,32.75,33.125,32.75,26.11954498291016,21300,0.0,
1994-11-03 00:00:00+00:00,33.0,33.25,33.0,26.21810531616211,5300,0.0,
1994-11-04 00:00:00+00:00,33.25,33.25,32.875,26.020977020263672,80500,0.0,
1994-11-07 00:00:00+00:00,33.125,33.5,33.125,26.41523551940918,26500,0.0,
1994-11-08 00:00:00+00:00,33.5,34.375,33.5,26.809490203857425,6900,0.0,
1994-11-09 00:00:00+00:00,34.5,35.25,34.5,27.597999572753903,16300,0.0,
1994-11-10 00:00:00+00:00,35.125,35.125,34.75,27.400876998901367,7900,0.0,
1994-11-11 00:00:00+00:00,34.875,34.875,34.75,27.499441146850582,23000,0.0,
1994-11-14 00:00:00+00:00,35.0,35.5,35.0,27.992265701293945,38100,0.0,
1994-11-15 00:00:00+00:00,34.75,34.875,34.75,27.499441146850582,15200,0.0,
1994-11-16 00:00:00+00:00,34.625,34.625,33.875,26.71092414855957,39700,0.0,
1994-11-17 00:00:00+00:00,33.875,33.875,33.625,26.612367630004883,19700,0.0,
1994-11-18 00:00:00+00:00,33.625,34.5,33.625,27.10518264770508,36000,0.0,
1994-11-21 00:00:00+00:00,34.375,34.375,34.0,26.809490203857425,20000,0.0,
1994-11-22 00:00:00+00:00,33.25,33.375,32.0,25.232467651367188,43500,0.0,
1994-11-23 00:00:00+00:00,31.5,31.5,30.75,24.64107322692871,55800,0.0,
1994-11-25 00:00:00+00:00,31.5,32.75,31.5,25.823848724365234,24400,0.0,
1994-11-28 00:00:00+00:00,32.5,32.5,32.125,25.42959213256836,5300,0.0,
1994-11-29 00:00:00+00:00,32.375,32.625,32.375,25.528160095214844,41500,0.0,
1994-11-30 00:00:00+00:00,32.125,32.25,31.75,25.035329818725582,30100,0.0,
1994-12-01 00:00:00+00:00,31.75,31.75,31.0,24.44395065307617,11100,0.0,
1994-12-02 00:00:00+00:00,29.5,29.5,29.0,22.866918563842773,125300,0.0,
1994-12-05 00:00:00+00:00,29.75,29.75,29.625,23.45830726623535,34500,0.0,
1994-12-06 00:00:00+00:00,29.75,29.75,29.25,23.06405067443848,32800,0.0,
