date,BEP_Open,BEP_High,BEP_Low,BEP_Close,BEP_Volume,BEP_Dividends,BEP_Stock Splits
2005-11-15 00:00:00+00:00,7.087663173675537,7.327470779418945,7.071675777435303,3.947265625,5254,0.0,
2005-11-16 00:00:00+00:00,7.156940937042236,7.1622700691223145,7.082334041595459,3.9858479499816895,13323,0.0,
2005-11-17 00:00:00+00:00,7.284839153289795,7.284839153289795,7.135624885559082,4.057076454162598,13136,0.0,
2005-11-18 00:00:00+00:00,7.263523101806641,7.279510021209717,7.1729278564453125,4.045206069946289,17451,0.0,
2005-11-21 00:00:00+00:00,7.391419887542725,7.418066024780273,7.311483860015869,4.116433620452881,124600,0.0,
2005-11-22 00:00:00+00:00,7.524647235870361,7.524647235870361,7.343459129333496,4.190630912780762,9758,0.0,
2005-11-23 00:00:00+00:00,7.513988971710205,7.513988971710205,7.482014179229736,4.184694290161133,9383,0.0,
2005-11-25 00:00:00+00:00,7.871037006378174,7.871037006378174,7.871037006378174,4.383542060852051,938,0.0,
2005-11-28 00:00:00+00:00,8.174793243408203,8.313348770141602,7.839062213897705,4.552709579467773,13698,0.0,
2005-11-29 00:00:00+00:00,8.21209716796875,8.350652694702148,8.21209716796875,4.573484897613525,11071,0.0,
2005-11-30 00:00:00+00:00,8.713029861450195,8.713029861450195,8.371969223022461,4.852465152740479,5442,0.0,
2005-12-01 00:00:00+00:00,8.430588722229004,8.430588722229004,8.201438903808594,4.6951680183410645,9570,0.0,
2005-12-02 00:00:00+00:00,8.377298355102539,8.377298355102539,8.302691459655762,4.66549015045166,3753,0.0,
2005-12-05 00:00:00+00:00,8.201438903808594,8.201438903808594,8.180123329162598,4.567549228668213,3378,0.0,
2005-12-06 00:00:00+00:00,8.238741874694824,8.238741874694824,8.217426300048828,4.588324069976807,751,0.0,
2005-12-07 00:00:00+00:00,8.238741874694824,8.238741874694824,8.238741874694824,4.588324069976807,751,0.0,
2005-12-08 00:00:00+00:00,8.15347671508789,8.180123329162598,8.14281940460205,4.540838241577148,4316,0.0,
2005-12-09 00:00:00+00:00,8.206768035888672,8.244071006774902,8.14281940460205,4.570516109466553,4504,0.0,
2005-12-12 00:00:00+00:00,8.297362327575684,8.297362327575684,8.270716667175293,4.620972156524658,4128,0.0,
2005-12-13 00:00:00+00:00,8.324007034301758,8.414602279663086,8.297362327575684,4.63581132888794,5817,0.0,
2005-12-14 00:00:00+00:00,8.44124698638916,8.44124698638916,8.387955665588379,4.701103210449219,4879,0.0,
2005-12-15 00:00:00+00:00,8.44124698638916,8.44124698638916,8.44124698638916,4.701103210449219,4879,0.0,
2005-12-16 00:00:00+00:00,8.355981826782227,8.355981826782227,8.350652694702148,4.653615474700928,6192,0.0,
2005-12-19 00:00:00+00:00,8.355981826782227,8.355981826782227,8.355981826782227,4.653615474700928,1126,0.0,
