date,EOG_Open,EOG_High,EOG_Low,EOG_Close,EOG_Volume,EOG_Dividends,EOG_Stock Splits
1989-10-04 00:00:00+00:00,2.46875,2.546875,2.4375,1.6505521535873413,20636000,0.0,
1989-10-05 00:00:00+00:00,2.515625,2.625,2.5,1.7021329402923584,6453600,0.0,
1989-10-06 00:00:00+00:00,2.59375,2.625,2.546875,1.6815012693405151,2755200,0.0,
1989-10-09 00:00:00+00:00,2.546875,2.546875,2.5,1.6815012693405151,1084000,0.0,
1989-10-10 00:00:00+00:00,2.5625,2.5625,2.5,1.6711851358413696,1493600,0.0,
1989-10-11 00:00:00+00:00,2.5,2.515625,2.46875,1.660868525505066,1260000,0.0,
1989-10-12 00:00:00+00:00,2.515625,2.546875,2.515625,1.6711851358413696,602400,0.0,
1989-10-13 00:00:00+00:00,2.53125,2.53125,2.46875,1.6402363777160645,3970400,0.0,
1989-10-16 00:00:00+00:00,2.375,2.46875,2.375,1.6299201250076294,3924800,0.0,
1989-10-17 00:00:00+00:00,2.4375,2.5,2.4375,1.6505521535873413,1843200,0.0,
1989-10-18 00:00:00+00:00,2.5,2.5625,2.484375,1.6815012693405151,1128000,0.0,
1989-10-19 00:00:00+00:00,2.53125,2.546875,2.53125,1.6815012693405151,1040000,0.0,
1989-10-20 00:00:00+00:00,2.53125,2.53125,2.515625,1.6711851358413696,237600,0.0,
1989-10-23 00:00:00+00:00,2.546875,2.5625,2.546875,1.6815012693405151,87200,0.0,
1989-10-24 00:00:00+00:00,2.546875,2.5625,2.53125,1.6918150186538696,689600,0.0,
1989-10-25 00:00:00+00:00,2.546875,2.578125,2.515625,1.6815012693405151,608000,0.0,
1989-10-26 00:00:00+00:00,2.546875,2.5625,2.546875,1.6815012693405151,228800,0.0,
1989-10-27 00:00:00+00:00,2.546875,2.546875,2.5,1.660868525505066,456000,0.0,
1989-10-30 00:00:00+00:00,2.515625,2.515625,2.5,1.6505521535873413,250400,0.0,
1989-10-31 00:00:00+00:00,2.5,2.515625,2.5,1.6505521535873413,424800,0.0,
1989-11-01 00:00:00+00:00,2.515625,2.5625,2.515625,1.6918150186538696,715200,0.0,
1989-11-02 00:00:00+00:00,2.59375,2.640625,2.59375,1.7433959245681765,130400,0.0,
1989-11-03 00:00:00+00:00,2.625,2.75,2.625,1.8052914142608645,1118400,0.0,
1989-11-06 00:00:00+00:00,2.71875,2.71875,2.578125,1.7021329402923584,264800,0.0,
1989-11-07 00:00:00+00:00,2.546875,2.6875,2.5,1.7743431329727173,727200,0.0,
