date,BYD_Open,BYD_High,BYD_Low,BYD_Close,BYD_Volume,BYD_Dividends,BYD_Stock Splits
1993-10-15 00:00:00+00:00,20.0,22.375,19.375,19.578073501586918,1212000,0.0,
1993-10-18 00:00:00+00:00,25.0,26.0,23.25,21.01601219177246,656300,0.0,
1993-10-19 00:00:00+00:00,23.875,24.0,22.5,20.0205192565918,227600,0.0,
1993-10-20 00:00:00+00:00,22.75,22.875,20.5,18.140134811401367,284800,0.0,
1993-10-21 00:00:00+00:00,21.0,22.0,21.0,19.35685157775879,160300,0.0,
1993-10-22 00:00:00+00:00,22.25,23.0,22.125,19.799291610717773,133900,0.0,
1993-10-25 00:00:00+00:00,22.125,22.5,20.625,18.69318580627441,92900,0.0,
1993-10-26 00:00:00+00:00,21.25,21.25,20.5,18.140134811401367,98500,0.0,
1993-10-27 00:00:00+00:00,20.75,20.75,20.125,17.80830192565918,84800,0.0,
1993-10-28 00:00:00+00:00,20.25,20.625,20.125,18.029521942138672,79400,0.0,
1993-10-29 00:00:00+00:00,20.5,20.5,20.0,17.80830192565918,49800,0.0,
1993-11-01 00:00:00+00:00,20.375,20.5,19.0,17.034029006958008,64100,0.0,
1993-11-02 00:00:00+00:00,19.5,19.5,18.25,16.480972290039062,78800,0.0,
1993-11-03 00:00:00+00:00,18.5,18.75,18.0,16.370363235473633,78100,0.0,
1993-11-04 00:00:00+00:00,18.5,18.5,17.125,15.485475540161133,82200,0.0,
1993-11-05 00:00:00+00:00,17.25,18.5,17.125,16.370363235473633,76400,0.0,
1993-11-08 00:00:00+00:00,18.25,18.625,18.25,16.370363235473633,34900,0.0,
1993-11-09 00:00:00+00:00,18.875,19.375,18.375,16.370363235473633,31700,0.0,
1993-11-10 00:00:00+00:00,18.625,18.625,17.75,15.706693649291992,37300,0.0,
1993-11-11 00:00:00+00:00,17.75,17.75,17.125,15.264257431030272,109400,0.0,
1993-11-12 00:00:00+00:00,17.375,17.5,16.625,15.043034553527832,98700,0.0,
1993-11-15 00:00:00+00:00,17.0,17.0,16.5,14.600595474243164,69000,0.0,
1993-11-16 00:00:00+00:00,16.625,16.75,16.5,14.600595474243164,99700,0.0,
1993-11-17 00:00:00+00:00,16.625,16.875,16.5,14.711206436157228,24500,0.0,
1993-11-18 00:00:00+00:00,16.75,16.75,16.5,14.600595474243164,27800,0.0,
1993-11-19 00:00:00+00:00,16.5,16.5,15.75,14.379371643066406,52700,0.0,
1993-11-22 00:00:00+00:00,16.0,16.25,15.875,14.15815544128418,60300,0.0,
1993-11-23 00:00:00+00:00,16.25,16.375,16.0,14.379371643066406,45100,0.0,
1993-11-24 00:00:00+00:00,16.5,16.625,16.25,14.600595474243164,38600,0.0,
1993-11-26 00:00:00+00:00,16.375,16.625,16.375,14.711206436157228,2100,0.0,
1993-11-29 00:00:00+00:00,16.75,16.75,15.875,14.15815544128418,50300,0.0,
1993-11-30 00:00:00+00:00,16.0,16.375,15.875,14.15815544128418,33300,0.0,
1993-12-01 00:00:00+00:00,16.0,16.625,16.0,14.489981651306152,102300,0.0,
1993-12-02 00:00:00+00:00,16.5,16.5,15.875,14.15815544128418,48700,0.0,
