date,IHT_Open,IHT_High,IHT_Low,IHT_Close,IHT_Volume,IHT_Dividends,IHT_Stock Splits
1973-02-21 00:00:00+00:00,0.0,21.75,21.75,7.066093444824219,2500,0.0,
1973-02-22 00:00:00+00:00,0.0,22.25,22.25,7.228532791137695,700,0.0,
1973-02-23 00:00:00+00:00,0.0,22.75,22.75,7.390968799591064,400,0.0,
1973-02-26 00:00:00+00:00,0.0,22.0,22.0,7.147315979003906,600,0.0,
1973-02-27 00:00:00+00:00,0.0,21.875,21.875,7.10670280456543,1800,0.0,
1973-02-28 00:00:00+00:00,0.0,21.5,21.5,6.984874248504639,2800,0.0,
1973-03-01 00:00:00+00:00,0.0,21.75,21.75,7.066093444824219,5200,0.0,
1973-03-02 00:00:00+00:00,0.0,21.5,21.5,6.984874248504639,800,0.0,
1973-03-05 00:00:00+00:00,0.0,21.625,21.625,7.025483131408691,200,0.0,
1973-03-06 00:00:00+00:00,0.0,21.875,21.875,7.10670280456543,900,0.0,
1973-03-07 00:00:00+00:00,0.0,21.5,21.5,6.984874248504639,1200,0.0,
1973-03-08 00:00:00+00:00,0.0,21.875,21.875,7.10670280456543,300,0.0,
1973-03-09 00:00:00+00:00,0.0,21.75,21.75,7.066093444824219,600,0.0,
1973-03-12 00:00:00+00:00,0.0,21.875,21.875,7.10670280456543,200,0.0,
1973-03-13 00:00:00+00:00,0.0,21.875,21.875,7.10670280456543,3800,0.0,
1973-03-14 00:00:00+00:00,0.0,21.875,21.875,7.10670280456543,100,0.0,
1973-03-15 00:00:00+00:00,0.0,21.875,21.875,7.10670280456543,100,0.0,
1973-03-16 00:00:00+00:00,0.0,21.5,21.5,6.984874248504639,1100,0.0,
1973-03-19 00:00:00+00:00,0.0,21.125,21.125,6.863044738769531,2500,0.0,
1973-03-20 00:00:00+00:00,0.0,21.125,21.125,6.863044738769531,100,0.0,
1973-03-21 00:00:00+00:00,0.0,20.5,20.5,6.659994125366211,2100,0.0,
1973-03-22 00:00:00+00:00,0.0,20.75,20.75,6.74121618270874,300,0.0,
1973-03-23 00:00:00+00:00,0.0,20.75,20.75,6.74121618270874,1200,0.0,
1973-03-26 00:00:00+00:00,0.0,20.25,20.25,6.578777313232422,1600,0.0,
1973-03-27 00:00:00+00:00,0.0,20.5,20.5,6.659994125366211,3400,0.0,
1973-03-28 00:00:00+00:00,0.0,20.75,20.75,6.74121618270874,700,0.0,
1973-03-29 00:00:00+00:00,0.0,20.75,20.75,6.74121618270874,1200,0.0,
1973-03-30 00:00:00+00:00,0.0,20.75,20.75,6.74121618270874,300,0.0,
1973-04-02 00:00:00+00:00,0.0,20.75,20.75,6.74121618270874,800,0.0,
1973-04-03 00:00:00+00:00,0.0,20.75,20.75,6.74121618270874,200,0.0,
1973-04-04 00:00:00+00:00,0.0,20.75,20.75,6.74121618270874,300,0.0,
1973-04-05 00:00:00+00:00,0.0,20.5,20.5,6.659994125366211,3500,0.0,
1973-04-06 00:00:00+00:00,0.0,19.875,19.875,6.456947326660156,6200,0.0,
1973-04-09 00:00:00+00:00,0.0,20.25,20.25,6.578777313232422,1700,0.0,
1973-04-10 00:00:00+00:00,0.0,20.375,20.375,6.619386196136475,100,0.0,
1973-04-11 00:00:00+00:00,0.0,20.0,20.0,6.497556686401367,1400,0.0,
1973-04-12 00:00:00+00:00,0.0,19.5,19.5,6.335119724273682,5000,0.0,
1973-04-13 00:00:00+00:00,0.0,20.0,20.0,6.497556686401367,1300,0.0,
1973-04-16 00:00:00+00:00,0.0,20.0,20.0,6.497556686401367,200,0.0,
1973-04-17 00:00:00+00:00,0.0,20.25,20.25,6.578777313232422,1200,0.0,
1973-04-18 00:00:00+00:00,0.0,21.0,21.0,6.822434902191162,800,0.0,
1973-04-19 00:00:00+00:00,0.0,21.25,21.25,6.9036545753479,800,0.0,
1973-04-23 00:00:00+00:00,0.0,20.75,20.75,6.74121618270874,900,0.0,
1973-04-24 00:00:00+00:00,0.0,20.875,20.875,6.781826019287109,600,0.0,
1973-04-25 00:00:00+00:00,0.0,20.875,20.875,6.781826019287109,200,0.0,
