date,CREX_Open,CREX_High,CREX_Low,CREX_Close,CREX_Volume,CREX_Dividends,CREX_Stock Splits
2006-11-27 00:00:00+00:00,1665.0,2461.5,1575.0,2101.5,3051,,
2006-11-28 00:00:00+00:00,1962.0,2529.0,1935.0,2061.0,3544,,
2006-11-29 00:00:00+00:00,2182.5,3330.0,2106.0,3231.0,12287,,
2006-11-30 00:00:00+00:00,3073.5,3451.5,2664.0,2664.0,5452,,
2006-12-01 00:00:00+00:00,2781.0,2902.5,2452.5,2583.0,2400,,
2006-12-04 00:00:00+00:00,2641.5,2988.0,2556.0,2718.0,3204,,
2006-12-05 00:00:00+00:00,2754.0,2853.0,2610.0,2686.5,1394,,
2006-12-06 00:00:00+00:00,2686.5,3060.0,2619.0,2781.0,3423,,
2006-12-07 00:00:00+00:00,2745.0,2992.5,2740.5,2839.5,1442,,
2006-12-08 00:00:00+00:00,2844.0,3114.0,2772.0,2884.5,2306,,
2006-12-11 00:00:00+00:00,2916.0,2997.0,2767.5,2812.5,980,,
2006-12-12 00:00:00+00:00,2835.0,2871.0,2619.0,2691.0,1016,,
2006-12-13 00:00:00+00:00,2700.0,2785.5,2493.0,2542.5,884,,
2006-12-14 00:00:00+00:00,2479.5,2560.5,2367.0,2412.0,880,,
2006-12-15 00:00:00+00:00,2380.5,2452.5,2214.0,2322.0,1123,,
2006-12-18 00:00:00+00:00,2362.5,2430.0,2227.5,2254.5,689,,
2006-12-19 00:00:00+00:00,2277.0,2385.0,2160.0,2299.5,713,,
2006-12-20 00:00:00+00:00,2277.0,2587.5,2272.5,2515.5,1480,,
2006-12-21 00:00:00+00:00,2479.5,2767.5,2421.0,2637.0,1631,,
2006-12-22 00:00:00+00:00,2677.5,2740.5,2349.0,2493.0,1075,,
2006-12-26 00:00:00+00:00,2430.0,2542.5,2380.5,2380.5,192,,
2006-12-27 00:00:00+00:00,2367.0,2812.5,2344.5,2542.5,1604,,
2006-12-28 00:00:00+00:00,2574.0,2623.5,2407.5,2578.5,999,,
2006-12-29 00:00:00+00:00,2560.5,2673.0,2475.0,2592.0,884,,
2007-01-03 00:00:00+00:00,2565.0,2817.0,2565.0,2745.0,926,,
2007-01-04 00:00:00+00:00,2704.5,2880.0,2551.5,2817.0,675,,
2007-01-05 00:00:00+00:00,2821.5,2970.0,2763.0,2947.5,412,,
2007-01-08 00:00:00+00:00,2965.5,2965.5,2830.5,2947.5,414,,
2007-01-09 00:00:00+00:00,2893.5,3262.5,2884.5,3150.0,1206,,
2007-01-10 00:00:00+00:00,3154.5,3298.5,3073.5,3150.0,507,,
2007-01-11 00:00:00+00:00,3150.0,3442.5,3096.0,3118.5,1288,,
2007-01-12 00:00:00+00:00,3127.5,3348.0,3127.5,3172.5,576,,
2007-01-16 00:00:00+00:00,3199.5,3762.0,3109.5,3541.5,3430,,
2007-01-17 00:00:00+00:00,3546.0,3586.5,3163.5,3195.0,1403,,
2007-01-18 00:00:00+00:00,3150.0,3150.0,2889.0,3010.5,1093,,
2007-01-19 00:00:00+00:00,2974.5,3091.5,2934.0,2988.0,363,,
2007-01-22 00:00:00+00:00,3127.5,3132.0,2727.0,2889.0,282,,
2007-01-23 00:00:00+00:00,2920.5,3015.0,2835.0,2907.0,243,,
2007-01-24 00:00:00+00:00,2889.0,3015.0,2781.0,2857.5,829,,
2007-01-25 00:00:00+00:00,2835.0,2947.5,2772.0,2812.5,335,,
2007-01-26 00:00:00+00:00,2785.5,2866.5,2632.5,2700.0,598,,
2007-01-29 00:00:00+00:00,2695.5,2794.5,2614.5,2686.5,412,,
2007-01-30 00:00:00+00:00,2664.0,3028.5,2601.0,2682.0,1790,,
2007-01-31 00:00:00+00:00,2673.0,2781.0,2605.5,2641.5,324,,
2007-02-01 00:00:00+00:00,2700.0,2740.5,2632.5,2686.5,244,,
2007-02-02 00:00:00+00:00,2659.5,2682.0,2479.5,2515.5,498,,
2007-02-05 00:00:00+00:00,2533.5,2628.0,2484.0,2592.0,228,,
2007-02-06 00:00:00+00:00,2614.5,2821.5,2578.5,2709.0,728,,
2007-02-07 00:00:00+00:00,2740.5,2767.5,2655.0,2745.0,388,,
2007-02-08 00:00:00+00:00,2731.5,2772.0,2682.0,2731.5,180,,
2007-02-09 00:00:00+00:00,2713.5,2862.0,2713.5,2853.0,292,,
2007-02-12 00:00:00+00:00,2844.0,3033.0,2844.0,2961.0,1049,,
2007-02-13 00:00:00+00:00,3010.5,3060.0,2884.5,2974.5,664,,
2007-02-14 00:00:00+00:00,3037.5,3082.5,2925.0,3037.5,645,,
2007-02-15 00:00:00+00:00,3060.0,3060.0,2835.0,2857.5,715,,
2007-02-16 00:00:00+00:00,2655.0,2920.5,2430.0,2875.5,1229,,
2007-02-20 00:00:00+00:00,2875.5,3141.0,2799.0,3078.0,366,,
2007-02-21 00:00:00+00:00,3060.0,3181.5,2979.0,3109.5,212,,
2007-02-22 00:00:00+00:00,3132.0,3235.5,3060.0,3177.0,365,,
2007-02-23 00:00:00+00:00,3231.0,3262.5,3091.5,3154.5,179,,
2007-02-26 00:00:00+00:00,3145.5,3150.0,2988.0,3096.0,217,,
2007-02-27 00:00:00+00:00,2992.5,3087.0,2844.0,2902.5,425,,
2007-02-28 00:00:00+00:00,2844.0,3010.5,2745.0,2902.5,210,,
2007-03-01 00:00:00+00:00,2925.0,3046.5,2749.5,2835.0,510,,
2007-03-02 00:00:00+00:00,2835.0,2983.5,2835.0,2943.0,421,,
2007-03-05 00:00:00+00:00,2947.5,3078.0,2925.0,2970.0,223,,
2007-03-06 00:00:00+00:00,3100.5,3100.5,3015.0,3037.5,286,,
2007-03-07 00:00:00+00:00,3037.5,3064.5,2979.0,3001.5,110,,
2007-03-08 00:00:00+00:00,2992.5,3141.0,2992.5,3078.0,268,,
2007-03-09 00:00:00+00:00,3060.0,3186.0,2992.5,3109.5,79,,
2007-03-12 00:00:00+00:00,3190.5,3339.0,3109.5,3339.0,309,,
2007-03-13 00:00:00+00:00,3316.5,3474.0,3181.5,3267.0,208,,
2007-03-14 00:00:00+00:00,3294.0,3321.0,3231.0,3271.5,93,,
2007-03-15 00:00:00+00:00,3199.5,3316.5,3190.5,3258.0,61,,
2007-03-16 00:00:00+00:00,3267.0,3307.5,3208.5,3253.5,156,,
2007-03-19 00:00:00+00:00,3312.0,3312.0,3109.5,3109.5,115,,
2007-03-20 00:00:00+00:00,3100.5,3253.5,3037.5,3141.0,91,,
2007-03-21 00:00:00+00:00,3163.5,3240.0,3109.5,3208.5,48,,
2007-03-22 00:00:00+00:00,3213.0,3240.0,3172.5,3172.5,24,,
2007-03-23 00:00:00+00:00,3240.0,3240.0,3082.5,3172.5,263,,
2007-03-26 00:00:00+00:00,3235.5,3645.0,3208.5,3586.5,503,,
2007-03-27 00:00:00+00:00,3681.0,3771.0,3438.0,3537.0,636,,
2007-03-28 00:00:00+00:00,3582.0,3699.0,3510.0,3555.0,284,,
