date,LTBR_Open,LTBR_High,LTBR_Low,LTBR_Close,LTBR_Volume,LTBR_Dividends,LTBR_Stock Splits
2005-01-03 00:00:00+00:00,234.0,252.0,234.0,234.0,35,,
2005-01-04 00:00:00+00:00,234.0,252.0,234.0,234.0,326,,
2005-01-05 00:00:00+00:00,234.0,270.0,216.0,270.0,213,,
2005-01-06 00:00:00+00:00,270.0,270.0,252.0,270.0,631,,
2005-01-07 00:00:00+00:00,288.0,306.0,270.0,270.0,766,,
2005-01-10 00:00:00+00:00,288.0,306.0,252.0,306.0,297,,
2005-01-11 00:00:00+00:00,288.0,324.0,288.0,324.0,303,,
2005-01-12 00:00:00+00:00,306.0,342.0,288.0,324.0,241,,
2005-01-13 00:00:00+00:00,324.0,378.0,306.0,360.0,1070,,
2005-01-14 00:00:00+00:00,378.0,378.0,342.0,342.0,161,,
2005-01-18 00:00:00+00:00,342.0,342.0,306.0,342.0,746,,
2005-01-19 00:00:00+00:00,324.0,378.0,324.0,342.0,801,,
2005-01-20 00:00:00+00:00,378.0,378.0,342.0,360.0,550,,
2005-01-21 00:00:00+00:00,360.0,396.0,360.0,360.0,525,,
2005-01-24 00:00:00+00:00,378.0,396.0,360.0,378.0,322,,
2005-01-25 00:00:00+00:00,342.0,360.0,324.0,342.0,232,,
2005-01-26 00:00:00+00:00,342.0,378.0,324.0,342.0,612,,
2005-01-27 00:00:00+00:00,324.0,342.0,288.0,288.0,131,,
2005-01-28 00:00:00+00:00,288.0,342.0,288.0,342.0,513,,
2005-01-31 00:00:00+00:00,306.0,342.0,306.0,324.0,336,,
2005-02-01 00:00:00+00:00,324.0,342.0,306.0,342.0,318,,
2005-02-02 00:00:00+00:00,342.0,360.0,324.0,324.0,349,,
2005-02-03 00:00:00+00:00,324.0,360.0,324.0,324.0,377,,
2005-02-04 00:00:00+00:00,342.0,360.0,324.0,360.0,575,,
2005-02-07 00:00:00+00:00,360.0,360.0,342.0,360.0,395,,
2005-02-08 00:00:00+00:00,360.0,360.0,324.0,324.0,121,,
2005-02-09 00:00:00+00:00,342.0,360.0,324.0,342.0,164,,
2005-02-10 00:00:00+00:00,342.0,360.0,324.0,342.0,494,,
