date,MTEX_Open,MTEX_High,MTEX_Low,MTEX_Close,MTEX_Volume,MTEX_Dividends,MTEX_Stock Splits
1999-02-16 00:00:00+00:00,95.0,243.75,95.0,135.77479553222656,45060,0.0,
1999-02-17 00:00:00+00:00,300.0,445.0,221.25,191.59329223632807,191610,0.0,
1999-02-18 00:00:00+00:00,238.75,310.0,205.0,126.72312927246094,78530,0.0,
1999-02-19 00:00:00+00:00,210.0,223.75,145.0,88.25358581542969,56320,0.0,
1999-02-22 00:00:00+00:00,150.0,158.75,125.0,84.48209381103516,32510,0.0,
1999-02-23 00:00:00+00:00,140.0,162.5,132.5,91.2708511352539,45250,0.0,
1999-02-24 00:00:00+00:00,155.0,155.0,132.5,81.46488952636719,12620,0.0,
1999-02-25 00:00:00+00:00,139.375,145.0,132.5,83.72776794433594,6840,0.0,
1999-02-26 00:00:00+00:00,138.75,140.0,131.25,81.46488952636719,5940,0.0,
1999-03-01 00:00:00+00:00,136.25,136.25,120.0,72.4132308959961,10040,0.0,
1999-03-02 00:00:00+00:00,120.625,123.75,100.0,63.36156463623047,15470,0.0,
1999-03-03 00:00:00+00:00,113.75,113.75,103.75,67.88739776611328,4320,0.0,
1999-03-04 00:00:00+00:00,115.0,120.0,108.75,70.15028381347656,6170,0.0,
1999-03-05 00:00:00+00:00,116.25,120.0,107.5,69.39600372314453,4480,0.0,
1999-03-08 00:00:00+00:00,110.0,120.0,108.75,66.37876892089844,5610,0.0,
1999-03-09 00:00:00+00:00,119.375,119.375,112.5,68.2645263671875,2330,0.0,
1999-03-10 00:00:00+00:00,111.25,115.0,108.75,67.88739776611328,5340,0.0,
1999-03-11 00:00:00+00:00,114.375,114.375,105.0,63.738731384277344,3310,0.0,
1999-03-12 00:00:00+00:00,105.625,113.75,105.0,67.88739776611328,3320,0.0,
1999-03-15 00:00:00+00:00,110.0,113.75,105.0,67.88739776611328,4240,0.0,
1999-03-16 00:00:00+00:00,110.625,115.0,101.25,69.39600372314453,21230,0.0,
1999-03-17 00:00:00+00:00,107.5,117.5,106.25,70.90461730957031,5920,0.0,
1999-03-18 00:00:00+00:00,115.0,118.75,109.375,66.00163269042969,1670,0.0,
1999-03-19 00:00:00+00:00,107.5,113.75,107.5,66.37876892089844,1330,0.0,
1999-03-22 00:00:00+00:00,108.125,114.375,107.5,65.247314453125,1160,0.0,
1999-03-23 00:00:00+00:00,110.0,114.375,106.25,66.37876892089844,1480,0.0,
1999-03-24 00:00:00+00:00,110.0,110.0,106.25,65.247314453125,2130,0.0,
1999-03-25 00:00:00+00:00,106.25,115.0,106.25,65.247314453125,1770,0.0,
1999-03-26 00:00:00+00:00,107.5,115.0,106.875,69.01884460449219,1940,0.0,
1999-03-29 00:00:00+00:00,113.125,113.125,107.5,68.2645263671875,1080,0.0,
1999-03-30 00:00:00+00:00,112.5,112.5,107.5,67.13311004638672,1920,0.0,
1999-03-31 00:00:00+00:00,108.75,170.0,108.75,101.0767822265625,38900,0.0,
1999-04-01 00:00:00+00:00,146.25,155.0,132.5,90.51651000976562,8530,0.0,
1999-04-05 00:00:00+00:00,143.75,145.0,135.0,84.48209381103516,4790,0.0,
1999-04-06 00:00:00+00:00,137.5,142.5,132.5,84.48209381103516,3110,0.0,
1999-04-07 00:00:00+00:00,136.875,141.875,131.25,84.48209381103516,4310,0.0,
1999-04-08 00:00:00+00:00,138.75,160.0,137.5,96.1737823486328,4930,0.0,
1999-04-09 00:00:00+00:00,150.0,195.0,150.0,107.11119842529295,15140,0.0,
1999-04-12 00:00:00+00:00,173.75,198.75,167.5,116.1628875732422,13060,0.0,
1999-04-13 00:00:00+00:00,192.5,260.0,190.0,144.07211303710938,16720,0.0,
1999-04-14 00:00:00+00:00,240.625,250.0,210.0,142.18634033203125,8370,0.0,
1999-04-15 00:00:00+00:00,237.5,238.75,217.5,142.56350708007812,5900,0.0,
1999-04-16 00:00:00+00:00,233.75,250.0,223.75,140.30056762695312,5980,0.0,
1999-04-19 00:00:00+00:00,237.5,241.875,227.5,137.28338623046875,5050,0.0,
1999-04-20 00:00:00+00:00,230.0,230.0,200.0,128.2317352294922,4730,0.0,
1999-04-21 00:00:00+00:00,212.5,215.0,207.5,127.85458374023438,1790,0.0,
1999-04-22 00:00:00+00:00,207.5,215.0,180.0,111.63704681396484,8560,0.0,
1999-04-23 00:00:00+00:00,183.125,190.0,168.75,105.22547149658205,4600,0.0,
1999-04-26 00:00:00+00:00,179.375,179.375,170.0,102.96256256103516,3060,0.0,
1999-04-27 00:00:00+00:00,175.0,175.0,145.0,92.0251235961914,9870,0.0,
1999-04-28 00:00:00+00:00,152.5,170.0,145.625,99.56815338134766,4680,0.0,
1999-04-29 00:00:00+00:00,170.0,172.5,160.0,99.56815338134766,3890,0.0,
1999-04-30 00:00:00+00:00,167.5,170.0,162.5,101.83110809326172,2830,0.0,
1999-05-03 00:00:00+00:00,167.5,190.0,166.25,110.88273620605467,2420,0.0,
1999-05-04 00:00:00+00:00,187.5,200.0,187.5,119.18009185791016,5920,0.0,
1999-05-05 00:00:00+00:00,201.25,201.25,190.0,120.68868255615234,1710,0.0,
1999-05-06 00:00:00+00:00,196.25,210.0,191.25,122.9515609741211,2560,0.0,
1999-05-07 00:00:00+00:00,200.0,202.5,162.5,102.20823669433594,12770,0.0,
1999-05-10 00:00:00+00:00,175.0,185.625,169.375,109.75125122070312,9960,0.0,
1999-05-11 00:00:00+00:00,192.5,195.0,185.0,116.1628875732422,2330,0.0,
1999-05-12 00:00:00+00:00,196.25,208.75,183.125,124.4602508544922,6790,0.0,
1999-05-13 00:00:00+00:00,205.0,215.0,172.5,111.63704681396484,10820,0.0,
1999-05-14 00:00:00+00:00,185.0,188.75,184.375,111.63704681396484,5210,0.0,
1999-05-17 00:00:00+00:00,186.25,186.25,180.625,108.9969482421875,920,0.0,
1999-05-18 00:00:00+00:00,181.25,182.5,175.0,105.60260772705078,3370,0.0,
1999-05-19 00:00:00+00:00,180.0,182.5,172.5,107.11119842529295,6700,0.0,
1999-05-20 00:00:00+00:00,177.5,177.5,168.125,101.45394897460938,12260,0.0,
